,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22
25,01006078,Мск Vegas BALDININI,,Да,78,VEG-BA,МОСКВА ТРЦ VEGAS,2010-06-01,МОСКВА,BALDININI,Основной,Да,основная,"Мск Vegas BALDININI, FABI, PDB",Нет,2020-08-31,500345001,,,,,2023-03-10 17:26:12,0
26,01006083,Москва Афимолл Сити Baldinini,Москва Афимолл Сити Braccialini,Да,83,AFI-BA,МОСКВА Афимолл Сити,2011-03-11,МОСКВА,BALDININI,Основной,Да,основная,,Нет,2015-03-07,0,,,,,2023-03-20 05:10:01,0
27,01006086,Мск ГУМ BALDININI,,Да,86,GUM-BA,МОСКВА ГУМ,2010-12-10,МОСКВА,BALDININI,Основной,Нет,основная,Мск ГУМ BALDININI,Нет,0001-01-01,772545007,Mono B,,,,2023-03-20 05:10:01,0
28,01006093,Мск Белая Дача OUTLET BALDININI,,Да,93,BD-OT-BA,МОСКВА OUTLET ТЦ Белая Дача,2012-08-16,МОСКВА,BALDININI,Сток,Да,сток,Мск Белая Дача OUTLET NO ONE,Нет,2021-10-12,5502745001,Mono B,,,,2023-03-10 17:26:12,0
29,01006113,Мск Ереван Плаза  BALDININI,,Да,113,ER-BA,МОСКВА ЕРЕВАН ПЛАЗА,2013-08-02,МОСКВА,BALDININI,Основной,Да,основная,"Мск Ереван Плаза NO ONE, BALDININI",Нет,2021-02-20,772545013,Mono B,,,SdID,2023-03-10 17:26:12,0
30,01006116,Мск Fashion House OUTLET BALDININI,,Да,116,FH-OT-BA,МОСКВА OUTLET FASHION HOUSE,2013-07-19,МОСКВА,BALDININI,Сток,Да,сток,Мск Fashion House NO ONE,Нет,2021-07-17,504445001,Mono B,,,,2023-05-29 05:10:02,0
31,01006118,Мск Райкин Плаза BALDININI,,Да,118,RP-BA,МОСКВА Райкин Плаза,2013-07-07,МОСКВА,BALDININI,Основной,Да,основная,Мск Райкин Плаза BALDININI,Нет,2020-08-31,772545011,,,,,2023-03-10 17:26:12,0
32,01006199,Мск Novaya Riga OUTLET BALDININI,,Да,185,NR-OT-BA,МОСКВА OUTLET Рига,2019-06-30,МОСКВА,BALDININI,Сток,Нет,сток,Мск Novaya Riga NO ONE,Нет,0001-01-01,0,Mono B,,,,2023-03-20 05:10:01,0
33,01007065,РнД Горизонт BALDININI,,Да,65,ROS-G-BA,"РОСТОВ-НА-ДОНУ ТРК ""Мегацентр Горизонт""",2009-04-15,РОСТОВ-НА-ДОНУ,BALDININI,Основной,Нет,основная,"РнД Горизонт BALDININI, FABI, NO ONE",Нет,0001-01-01,6616145002,Mono B,,,,2023-05-01 05:10:02,0
34,01008032,Смр Парк Хаус BALDININI,,Да,125,SAM-PH-BA,"САМАРА МОЛЛ ""ПАРК-ХАУС""",2006-10-21,САМАРА,BALDININI,Основной,Да,основная,Смр Парк Хаус BALDININI,Нет,2020-10-01,631945001,,,,,2023-03-10 17:26:12,0
35,01009030,Тлт Парк Хаус OUTLET BALDININI,,Да,30,TOL-PH-BA,"ТОЛЬЯТТИ OUTLET МОЛЛ ""ПАРК-ХАУС""",2005-12-17,ТОЛЬЯТТИ,BALDININI,Сток,Да,сток,"Тлт Парк Хаус OUTLET NO ONE, BALDININI",Нет,2021-02-24,632445001,,,,,2023-03-10 17:26:12,0
36,01011114,"Уфа РЦ  ""Планета"" Baldinini",,Да,123,UFA-PL-BA,"УФА ТРЦ  ""Планета""",2013-12-02,УФА,BALDININI,Основной,Да,основная,,Нет,2016-02-25,0,,,,,2023-03-20 05:10:01,0
37,01011153,САНКТ-ПЕТЕРБУРГ ПУЛКОВО OUTLET Baldinini,,Да,153,SPP-OT-BA,САНКТ-ПЕТЕРБУРГ ПУЛКОВО OUTLET,2016-08-15,САНКТ-ПЕТЕРБУРГ,BALDININI,Сток,Да,сток,СПб Пулково NO ONE,Нет,2017-09-10,0,,,,,2023-03-20 05:10:01,0
38,02001091,"Волгоград МОЛЛ ""ПАРК-ХАУС"" Ballin",,Да,47,VOL-PH-BL,"ВОЛГОГРАД МОЛЛ ""ПАРК-ХАУС""",2008-03-29,ВОЛГОГРАД,Ballin,Основной,Да,основная,"Влг Парк Хаус NO ONE, BALDININI, FABI",Нет,2013-07-01,344345001,,,,,2023-03-10 17:26:12,0
39,02002000,"Екатеринбург ""ПАССАЖ"" Ballin",,Да,169,EK-PAS-BL,"ЕКАТЕРИНБУРГ ""ПАССАЖ""",2018-08-01,ЕКАТЕРИНБУРГ,Ballin,Основной,Да,основная,,Нет,2018-08-13,0,,,,,2023-03-20 05:10:01,0
40,02004087,"Казань ТЦ ""Сувар - Плаза"" Ballin",,Да,87,KAZ-SP-BL,"КАЗАНЬ ТЦ ""Сувар - Плаза""",2011-05-06,КАЗАНЬ,Ballin,Основной,Да,основная,"Кзн Сувар Плаза NO ONE, BALDININI, FABI",Да,2019-07-30,0,,,,,2023-03-20 05:10:01,0
41,02006020,Мск ГУМ BALLIN,,Да,127,GUM-BL,МОСКВА ГУМ,2014-03-14,МОСКВА,Ballin,Основной,Да,основная,Мск ГУМ BALLIN,Нет,2020-03-11,772545007,,,,,2023-03-10 17:26:12,0
42,02006078,Москва ТРЦ VEGAS Ballin,,Да,78,VEG-BL,МОСКВА ТРЦ VEGAS,2010-06-01,МОСКВА,Ballin,Основной,Да,основная,"Мск Vegas BALDININI, FABI, PDB",Да,2019-07-30,500345001,,,,,2023-03-10 17:26:12,0
43,02006081,Москва Афимолл Сити Ballin,,Да,81,AFI-BL,МОСКВА Афимолл Сити,2011-03-12,МОСКВА,Ballin,Основной,Да,основная,,Нет,2014-12-01,0,,,,,2023-03-20 05:10:01,0
44,02006085,Москва ЕВРОПЕЙСКИЙ ТРЦ Ballin,,Да,85,EVR-BL,МОСКВА ЕВРОПЕЙСКИЙ ТРЦ,2010-12-10,МОСКВА,Ballin,Основной,Да,основная,,Нет,2015-09-01,0,,,,,2023-03-20 05:10:01,0
45,02006098,Москва АТРИУМ Ballin,,Да,157,ATR-BL,МОСКВА АТРИУМ,2012-07-16,МОСКВА,Ballin,Основной,Да,основная,Атриум Ballin,Нет,2019-02-28,0,,,,,2023-03-20 05:10:01,0
46,02006124,Москва Времена Года Ballin,,Да,124,VG-BL,МОСКВА Времена Года,2013-07-16,МОСКВА,Ballin,Основной,Да,основная,,Нет,2016-03-18,0,,,,,2023-03-20 05:10:01,0
