,0,1,2
228,2019-04-17,66,14233
229,2019-04-18,66,14228
230,2019-04-19,66,16147
231,2019-04-20,66,27390
232,2019-04-21,66,28992
233,2019-04-22,66,14122
234,2019-04-23,65,15173
235,2019-04-24,65,15029
236,2019-04-25,65,13909
237,2019-04-26,65,15247
238,2019-04-27,65,22905
239,2019-04-28,65,23040
240,2019-04-29,66,12369
241,2019-04-30,66,13930
242,2019-05-01,64,23406
243,2019-05-02,64,22553
244,2019-05-03,66,23616
245,2019-05-04,66,21391
246,2019-05-05,66,19317
247,2019-05-06,66,12477
248,2019-05-07,65,13650
249,2019-05-08,67,15196
250,2019-05-09,67,17576
251,2019-05-10,66,24481
252,2019-05-11,66,23632
253,2019-05-12,65,20646
254,2019-05-13,67,11976
255,2019-05-14,66,12667
256,2019-05-15,67,13288
257,2019-05-16,66,15004
258,2019-05-17,66,15722
259,2019-05-18,66,25552
260,2019-05-19,66,25441
261,2019-05-20,66,13928
262,2019-05-21,66,13992
263,2019-05-22,66,14763
264,2019-05-23,66,14810
265,2019-05-24,66,16305
266,2019-05-25,66,26060
267,2019-05-26,66,25952
268,2019-05-27,66,13955
269,2019-05-28,66,14658
270,2019-05-29,65,15281
271,2019-05-30,65,15566
272,2019-05-31,66,17209
273,2019-06-01,66,26900
274,2019-06-02,65,27311
275,2019-06-03,65,15112
276,2019-06-04,65,17086
277,2019-06-05,64,19298
278,2019-06-06,62,17612
279,2019-06-07,63,18551
280,2019-06-08,63,28401
281,2019-06-09,63,26052
282,2019-06-10,64,15478
283,2019-06-11,64,18317
284,2019-06-12,63,29847
285,2019-06-13,64,16722
286,2019-06-14,64,16229
287,2019-06-15,64,26966
288,2019-06-16,64,27294
289,2019-06-17,63,15110
290,2019-06-18,63,16722
291,2019-06-19,64,17192
292,2019-06-20,64,16080
293,2019-06-21,65,17013
294,2019-06-22,65,24348
295,2019-06-23,64,24546
296,2019-06-24,65,15144
297,2019-06-25,65,15504
298,2019-06-26,65,15007
299,2019-06-27,65,14673
300,2019-06-28,65,14168
301,2019-06-29,64,22812
302,2019-06-30,64,24684
303,2019-07-01,64,13586
304,2019-07-02,65,14667
305,2019-07-03,65,16288
306,2019-07-04,65,16686
307,2019-07-05,65,16766
308,2019-07-06,65,26963
