,0,1,2,3,4,5
129,07010795,07010795,07010795,ONLINEYAUFA,,
130,19006216,19006216,19006216,ONLINEYAVLG,,
131,07006037,07006037,07006037,ORDJ-OT-NO,,
132,19006215,19006215,19006215,OZON,,
133,19006217,19006217,19006217,PDB-IT,,
134,07006187,07006187,07006187,POP UP-OT-NO,,
135,07006140,07006140,07006140,PRE-NO,,
136,00006023,00006023,00006023,PTV,,
137,00006024,00006024,00006024,REK,,
138,01007065,01007065,01007065,ROS-G-BA,,
139,02007084Ж,06007054,02007084,ROS-G-BL,Ж,
140,02007084М,06107104,02007084,ROS-G-BL,М,
141,02007084У,06107104,02007084,ROS-G-BL,У,
142,02007084,06107104,02007084,ROS-G-BL,,
143,03007067Ж,06007054,03007067,ROS-G-BR,Ж,
144,03007067М,06107104,03007067,ROS-G-BR,М,
145,03007067У,06107104,03007067,ROS-G-BR,У,
146,03007067,06107104,03007067,ROS-G-BR,,
147,08007089Ж,06007054,08007089,ROS-G-CA,Ж,
148,08007089М,06107104,08007089,ROS-G-CA,М,
149,08007089У,06107104,08007089,ROS-G-CA,У,
150,08007089,06107104,08007089,ROS-G-CA,,
151,04007061,04007061,04007061,ROS-G-FA,,
152,06007054,06007054,06007054,ROS-G-NOD,,
153,06107104,06107104,06107104,ROS-G-NOU,,
154,15007151Ж,06007054,15007151,ROS-G-PO,Ж,
155,15007151М,06107104,15007151,ROS-G-PO,М,
156,15007151У,06107104,15007151,ROS-G-PO,У,
157,15007151,06107104,15007151,ROS-G-PO,,
158,13007145Ж,06007054,13007145,ROS-G-SW,Ж,
159,13007145М,06107104,13007145,ROS-G-SW,М,
160,13007145У,06107104,13007145,ROS-G-SW,У,
161,13007145,06107104,13007145,ROS-G-SW,,
162,07007054Ж,06007054,07007054,ROS-G-VI,Ж,
163,07007054М,06107104,07007054,ROS-G-VI,М,
164,07007054У,06107104,07007054,ROS-G-VI,У,
165,07007054,06107104,07007054,ROS-G-VI,,
166,17007194Ж,06007054,17007194,ROS-PDB,Ж,
167,17007194М,06107104,17007194,ROS-PDB,М,
168,17007194У,06107104,17007194,ROS-PDB,У,
169,17007194,06107104,17007194,ROS-PDB,,
170,01006118,01006118,01006118,RP-BA,,
171,07006118,07006118,07006118,RP-NO,,
172,06008075,06008075,06008075,SAM-IC-OT-NO,,
173,02008110,02008110,02008110,SAM-KB-BL,,
174,06008026,06008026,06008026,SAM-KB-NO,,
175,07008253,07008253,07008253,SAM-NO,,
176,06008069,06008069,06008069,SAM-OT-NO,,
177,01008032,01008032,01008032,SAM-PH-BA,,
178,03008051,03008051,03008051,SAM-PH-BR,,
179,04008032,04008032,04008032,SAM-PH-FA,,
180,07008032,07008032,07008032,SAM-PH-NO,,
181,17006168,17006168,17006168,SAM-PH-NO-D,,
182,17006169,17006169,17006169,SAM-PH-NO-U,,
183,08008032,08008032,08008032,SAM-PH-VI,,
184,04006003,04006003,04006003,SHER-OT-FA,,
185,07013256,07013256,07013256,SH-OT-NO,,
186,00-000002,00-000002,00-000002,skl1,,
187,00000002,00000002,00000002,skl1,,
188,07008258,07008258,07008258,SM-H-POPUP,,
189,07006268,07006268,07006268,SMP-OT-NO,,
190,07006227,07006227,07006227,SMP-PU,,
191,07006138,07006138,07006138,SM-PS-NO,,
192,07011237,07011237,07011237,SPB-GL-NO,,
193,07011216,07011216,07011216,SPP-NOONE,,
194,01011153,01011153,01011153,SPP-OT-BA,,
195,07011153,07011153,07011153,SPP-OT-NO,,
196,07011151,07011151,07011151,SPP-OT-NOD,,
197,07011152,07011152,07011152,SPP-OT-NOU,,
198,01009030,01009030,01009030,TOL-PH-BA,,
199,02009092,02009092,02009092,TOL-PH-BL,,
200,04009030,04009030,04009030,TOL-PH-FA,,
201,07009138,07009138,07009138,TOL-PH-NO,,
202,08009030,08009030,08009030,TOL-PH-VI,,
203,07006154,07006154,07006154,TSV-NO,,
204,01006059,01006059,01006059,TV12-BA,,
